ParticipantName	GazeEventDuration	GazeEventDuration	GazeEventDuration	GazePointX (MCSpx)	GazePointY (MCSpx)	MediaName
P03h	567	567	567	972.0	88.0	http://www.fiit.stuba.sk/
P03h	567	567	567	983.0	48.0	http://www.fiit.stuba.sk/
P03h	567	567	567	988.0	59.0	http://www.fiit.stuba.sk/
P03h	367	367	367	589.0	64.0	http://www.fiit.stuba.sk/
P03h	367	367	367	575.0	84.0	http://www.fiit.stuba.sk/
P03h	367	367	367	589.0	88.0	http://www.fiit.stuba.sk/
P03h	367	367	367	575.0	93.0	http://www.fiit.stuba.sk/
P03h	367	367	367	588.0	67.0	http://www.fiit.stuba.sk/
P03h	367	367	367	608.0	83.0	http://www.fiit.stuba.sk/
P03h	367	367	367	591.0	109.0	http://www.fiit.stuba.sk/
P03h	367	367	367	602.0	66.0	http://www.fiit.stuba.sk/
P03h	367	367	367	595.0	53.0	http://www.fiit.stuba.sk/
P03h	367	367	367	587.0	74.0	http://www.fiit.stuba.sk/
P03h	367	367	367	555.0	39.0	http://www.fiit.stuba.sk/
P03h	367	367	367	553.0	75.0	http://www.fiit.stuba.sk/
P03h	367	367	367	571.0	64.0	http://www.fiit.stuba.sk/
P03h	367	367	367	560.0	87.0	http://www.fiit.stuba.sk/
P03h	367	367	367	570.0	45.0	http://www.fiit.stuba.sk/
P03h	367	367	367	578.0	66.0	http://www.fiit.stuba.sk/
P03h	367	367	367	548.0	66.0	http://www.fiit.stuba.sk/
P03h	367	367	367	563.0	63.0	http://www.fiit.stuba.sk/
P03h	367	367	367	556.0	81.0	http://www.fiit.stuba.sk/
P03h	367	367	367	556.0	80.0	http://www.fiit.stuba.sk/
P03h	367	367	367	551.0	76.0	http://www.fiit.stuba.sk/
P03h	367	367	367	556.0	67.0	http://www.fiit.stuba.sk/
P03h	200	200	200	962.0	24.0	http://www.fiit.stuba.sk/
P03h	200	200	200	936.0	39.0	http://www.fiit.stuba.sk/
P03h	200	200	200	921.0	49.0	http://www.fiit.stuba.sk/
P03h	200	200	200	945.0	15.0	http://www.fiit.stuba.sk/
P03h	200	200	200	930.0	39.0	http://www.fiit.stuba.sk/
P03h	200	200	200	939.0	29.0	http://www.fiit.stuba.sk/
P03h	200	200	200	943.0	41.0	http://www.fiit.stuba.sk/
P03h	600	600	600	980.0	52.0	http://www.fiit.stuba.sk/
P03h	600	600	600	982.0	63.0	http://www.fiit.stuba.sk/
P03h	600	600	600	930.0	146.0	http://www.fiit.stuba.sk/
P03h	600	600	600	972.0	73.0	http://www.fiit.stuba.sk/
P03h	600	600	600	975.0	59.0	http://www.fiit.stuba.sk/
P03h	600	600	600	970.0	73.0	http://www.fiit.stuba.sk/
P03h	600	600	600	985.0	46.0	http://www.fiit.stuba.sk/
P03h	600	600	600	979.0	59.0	http://www.fiit.stuba.sk/
P03h	600	600	600	979.0	60.0	http://www.fiit.stuba.sk/
P03h	600	600	600	981.0	62.0	http://www.fiit.stuba.sk/
P03h	600	600	600	969.0	63.0	http://www.fiit.stuba.sk/
P03h	600	600	600	990.0	79.0	http://www.fiit.stuba.sk/
P03h	600	600	600	981.0	65.0	http://www.fiit.stuba.sk/
P03h	600	600	600	980.0	51.0	http://www.fiit.stuba.sk/
P03h	600	600	600	980.0	49.0	http://www.fiit.stuba.sk/
P03h	600	600	600	988.0	65.0	http://www.fiit.stuba.sk/
P03h	600	600	600	975.0	52.0	http://www.fiit.stuba.sk/
P03h	600	600	600	971.0	60.0	http://www.fiit.stuba.sk/
P03h	600	600	600	982.0	56.0	http://www.fiit.stuba.sk/
P03h	600	600	600	975.0	65.0	http://www.fiit.stuba.sk/
P03h	600	600	600	985.0	43.0	http://www.fiit.stuba.sk/
P03h	600	600	600	981.0	53.0	http://www.fiit.stuba.sk/
P03h	600	600	600	970.0	61.0	http://www.fiit.stuba.sk/
P03h	600	600	600	985.0	59.0	http://www.fiit.stuba.sk/
P03h	600	600	600	1002.0	46.0	http://www.fiit.stuba.sk/
P03h	600	600	600	1002.0	57.0	http://www.fiit.stuba.sk/
P03h	600	600	600	990.0	74.0	http://www.fiit.stuba.sk/
P03h	600	600	600	972.0	65.0	http://www.fiit.stuba.sk/
P03h	600	600	600	970.0	92.0	http://www.fiit.stuba.sk/
P03h	600	600	600	993.0	74.0	http://www.fiit.stuba.sk/
P03h	600	600	600	976.0	60.0	http://www.fiit.stuba.sk/
P03h	600	600	600	985.0	57.0	http://www.fiit.stuba.sk/
P03h	600	600	600	980.0	31.0	http://www.fiit.stuba.sk/
P03h	600	600	600	975.0	68.0	http://www.fiit.stuba.sk/
P03h	600	600	600	995.0	57.0	http://www.fiit.stuba.sk/
P03h	117	117	117	791.0	97.0	http://www.fiit.stuba.sk/
P03h	117	117	117	807.0	90.0	http://www.fiit.stuba.sk/
P03h	117	117	117	796.0	91.0	http://www.fiit.stuba.sk/
P03h	117	117	117	785.0	99.0	http://www.fiit.stuba.sk/
P03h	117	117	117	785.0	97.0	http://www.fiit.stuba.sk/
P03h	117	117	117	783.0	93.0	http://www.fiit.stuba.sk/
P03h	117	117	117	791.0	93.0	http://www.fiit.stuba.sk/
P03h	250	250	250	821.0	57.0	http://www.fiit.stuba.sk/
P03h	250	250	250	819.0	78.0	http://www.fiit.stuba.sk/
P03h	250	250	250	830.0	90.0	http://www.fiit.stuba.sk/
P03h	250	250	250	837.0	68.0	http://www.fiit.stuba.sk/
P03h	250	250	250	823.0	71.0	http://www.fiit.stuba.sk/
P03h	250	250	250	831.0	70.0	http://www.fiit.stuba.sk/
P03h	250	250	250	808.0	59.0	http://www.fiit.stuba.sk/
P03h	250	250	250	832.0	68.0	http://www.fiit.stuba.sk/
P03h	250	250	250	841.0	85.0	http://www.fiit.stuba.sk/
P03h	250	250	250	827.0	45.0	http://www.fiit.stuba.sk/
P03h	250	250	250	833.0	53.0	http://www.fiit.stuba.sk/
P03h	250	250	250	819.0	70.0	http://www.fiit.stuba.sk/
P03h	250	250	250	823.0	54.0	http://www.fiit.stuba.sk/
P03h	250	250	250	835.0	49.0	http://www.fiit.stuba.sk/
P03h	250	250	250	836.0	69.0	http://www.fiit.stuba.sk/
P03h	317	317	317	695.0	55.0	http://www.fiit.stuba.sk/
P03h	317	317	317	680.0	67.0	http://www.fiit.stuba.sk/
P03h	317	317	317	705.0	68.0	http://www.fiit.stuba.sk/
P03h	317	317	317	689.0	91.0	http://www.fiit.stuba.sk/
P03h	317	317	317	687.0	122.0	http://www.fiit.stuba.sk/
P03h	317	317	317	661.0	90.0	http://www.fiit.stuba.sk/
P03h	317	317	317	683.0	79.0	http://www.fiit.stuba.sk/
P03h	317	317	317	681.0	46.0	http://www.fiit.stuba.sk/
P03h	317	317	317	692.0	83.0	http://www.fiit.stuba.sk/
P03h	317	317	317	692.0	74.0	http://www.fiit.stuba.sk/
P03h	317	317	317	702.0	31.0	http://www.fiit.stuba.sk/
P03h	317	317	317	700.0	91.0	http://www.fiit.stuba.sk/
P03h	317	317	317	670.0	57.0	http://www.fiit.stuba.sk/
P03h	317	317	317	674.0	84.0	http://www.fiit.stuba.sk/
P03h	317	317	317	684.0	71.0	http://www.fiit.stuba.sk/
P03h	317	317	317	656.0	91.0	http://www.fiit.stuba.sk/
P03h	317	317	317	691.0	70.0	http://www.fiit.stuba.sk/
P03h	317	317	317	693.0	76.0	http://www.fiit.stuba.sk/
P03h	317	317	317	671.0	69.0	http://www.fiit.stuba.sk/
P03h	400	400	400	665.0	130.0	http://www.fiit.stuba.sk/
P03h	400	400	400	673.0	107.0	http://www.fiit.stuba.sk/
P03h	400	400	400	689.0	97.0	http://www.fiit.stuba.sk/
P03h	400	400	400	675.0	96.0	http://www.fiit.stuba.sk/
P03h	400	400	400	680.0	133.0	http://www.fiit.stuba.sk/
P03h	400	400	400	681.0	122.0	http://www.fiit.stuba.sk/
P03h	400	400	400	667.0	92.0	http://www.fiit.stuba.sk/
P03h	400	400	400	663.0	113.0	http://www.fiit.stuba.sk/
P03h	400	400	400	684.0	58.0	http://www.fiit.stuba.sk/
P03h	400	400	400	667.0	116.0	http://www.fiit.stuba.sk/
P03h	400	400	400	689.0	119.0	http://www.fiit.stuba.sk/
P03h	400	400	400	671.0	117.0	http://www.fiit.stuba.sk/
P03h	400	400	400	696.0	120.0	http://www.fiit.stuba.sk/
P03h	400	400	400	676.0	160.0	http://www.fiit.stuba.sk/
P03h	400	400	400	690.0	112.0	http://www.fiit.stuba.sk/
P03h	400	400	400	686.0	106.0	http://www.fiit.stuba.sk/
P03h	400	400	400	697.0	129.0	http://www.fiit.stuba.sk/
P03h	400	400	400	683.0	137.0	http://www.fiit.stuba.sk/
P03h	400	400	400	680.0	151.0	http://www.fiit.stuba.sk/
P03h	400	400	400	692.0	121.0	http://www.fiit.stuba.sk/
P03h	400	400	400	713.0	124.0	http://www.fiit.stuba.sk/
P03h	400	400	400	695.0	128.0	http://www.fiit.stuba.sk/
P03h	400	400	400	689.0	138.0	http://www.fiit.stuba.sk/
P03h	400	400	400	670.0	149.0	http://www.fiit.stuba.sk/
P03h	150	150	150	533.0	205.0	http://www.fiit.stuba.sk/
